ID,Block,Gender,Hhsize,HousingType,Idimp,Iddiff,Idinsult,ViolNorm1,ViolNorm2,PeerBlameJ,PeerBlameH,PeerBlameD,NoMeeting,LeadBlameJ,LeadBlameH,LeadBlameD,EmotJob1,DegrEmotJ,EmotJob2,EmotHous1,DegrEmotH,EmotHous2,SAPosNow,SAPosNorm,ForPosNow,ForPosNorm,EmotPos1,DegrEmotPos,EmotPos2,LiveAlex08,ParticToyi,ParticIntim,ParticLoot,ParticHelp,ParticHarm,ParticDestr,IntendToyi,IntendToyi2,IntendHelp,IntendHit,IntendDestr,Age,AttendCh,Married,YrsAlex,Working,JobR,Lang,Party,Education,Ownership,HaveElect,HaveTV,HaveCell,HaveFridge,HaveMicro,HaveComp,HaveCar
10033,S8,1,3,6,1,3,3,5,1,2,2,2,0,NA,NA,NA,2,2,1,8,3,9,NA,1,5,5,8,2,7,2,3,3,3,3,3,3,4,4,1,4,4,36,1,2,2,1,security guard,1,88,3,2,2,2,2,2,2,1,1
10034,S4,2,1,6,2,3,2,4,2,2,2,2,4,9,2,9,4,1,8,8,1,4,2,5,5,4,8,2,3,1,3,3,3,3,3,3,3,4,4,4,3,36,1,2,10,7,warehouse worker,4,3,2,1,2,2,2,2,2,1,1
10035,S2,1,1,6,3,4,2,4,2,1,1,2,0,NA,NA,NA,8,2,4,3,2,4,4,5,5,7,8,2,8,1,1,3,3,3,3,3,4,4,4,4,4,39,2,2,13,1,bus driver,8,3,2,2,2,2,2,2,2,1,2
10036,S2,1,4,6,3,2,3,1,2,2,2,2,0,NA,NA,NA,9,9,NA,8,1,7,1,4,5,4,8,9,7,1,3,3,3,3,3,3,4,4,4,4,4,54,1,NA,77,6,domestic worker,4,3,2,1,2,2,2,2,2,1,1
10037,S2,1,4,6,2,4,4,2,2,1,1,1,0,NA,NA,NA,8,1,3,3,1,8,1,5,5,3,3,1,8,1,1,3,2,3,2,2,1,1,2,4,3,36,1,2,10,2,driver,4,1,3,1,2,2,NA,2,1,1,2
10038,S2,1,2,6,3,3,4,4,2,1,2,2,0,NA,NA,NA,1,2,2,6,1,8,2,4,1,4,8,2,6,1,3,3,3,3,3,3,4,4,1,4,4,46,3,2,77,1,grant administrator,8,3,3,1,2,2,2,2,2,1,1
10039,S2,2,2,6,2,4,1,2,3,2,4,2,0,NA,NA,NA,3,2,6,8,1,8,2,6,5,1,5,2,3,1,3,3,3,3,3,3,4,4,4,4,4,45,1,2,18,7,domestic worker,4,3,3,1,2,1,2,2,1,1,1
10040,S2,2,1,6,1,4,1,5,2,2,2,2,0,NA,NA,NA,4,1,3,8,2,8,3,5,6,2,7,2,7,1,3,3,3,3,3,3,4,4,4,4,4,45,1,1,10,7,domestic worker,6,3,3,3,2,1,2,2,1,1,1
10041,S2,1,1,6,1,4,1,5,2,2,1,4,0,NA,NA,NA,1,2,1,9,9,9,3,5,5,2,3,3,3,1,3,3,3,3,3,3,4,4,1,4,4,30,4,2,30,7,retail assistant,1,3,3,1,2,2,2,2,2,1,2
10042,S2,1,1,6,1,4,NA,3,2,3,2,2,NA,NA,1,2,NA,NA,NA,6,1,7,3,6,5,2,4,2,3,1,3,3,3,3,3,3,4,4,1,4,4,47,2,2,42,7,driver,5,3,2,1,2,2,2,2,1,1,1
10043,S2,1,1,6,2,3,4,5,1,4,4,4,0,NA,NA,NA,3,2,4,6,2,8,3,6,5,2,3,1,8,1,3,3,3,3,3,3,4,4,1,4,4,42,2,1,14,1,security guard,4,3,3,3,2,2,2,2,2,2,1
10044,S2,2,1,2,2,3,2,4,2,NA,2,9,5,2,1,4,3,2,8,3,2,4,3,6,5,2,8,2,4,2,NA,NA,NA,NA,NA,NA,1,1,4,1,4,27,2,2,3,1,filing,4,3,3,3,2,1,2,2,1,1,1
10045,S8,2,2,2,2,4,2,5,2,4,2,3,0,NA,NA,NA,9,NA,NA,9,NA,NA,4,6,5,2,3,2,7,1,3,3,3,3,3,3,4,4,4,4,4,24,4,2,3,7,factory worker,1,7,3,3,2,2,1,2,1,1,1
10046,S4,2,2,2,2,4,2,4,2,1,1,2,0,NA,NA,NA,3,2,6,3,2,8,3,6,5,2,3,2,6,1,3,3,3,3,3,3,1,2,4,NA,NA,41,2,1,17,2,cleaner,2,3,2,3,2,2,2,2,2,1,1
10047,S4,1,1,2,NA,NA,1,5,2,3,2,NA,0,NA,NA,NA,9,9,99,6,2,7,5,7,4,4,1,2,1,1,3,3,3,3,3,3,4,4,1,4,4,22,4,2,17,7,never worked,8,3,3,1,2,2,2,2,2,1,1
